Player,Team,Position,GP,TOI,Age,atoi,total_percentile,Skater,team_gp,team_TOI,team_atoi,adj_toi,QoTF,QoTD,Team 1_x,Team 2_x,Team 3_x,adj_toi 1_x,adj_toi 2_x,adj_toi 3_x,QoCF,QoCD,team_no,team_count,Team 1_y,Team 2_y,Team 3_y,adj_toi 1_y,adj_toi 2_y,adj_toi 3_y,QoCF 1,QoCF 2,QoCF 3,QoTF 1,QoTF 2,QoTF 3,QoCD 1,QoCD 2,QoCD 3,QoTD 1,QoTD 2,QoTD 3,toughest_min,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iHDCF,Rush Attempts,Rebounds Created,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs %,CF,CA,GF,GA,GF%,xGF,xGA,HDGF%,PDO
Brent Burns,S.J,D,82,2144.03,39.0,26.15,100.0,D,82.0,2144.03,26.15,2144.2999999999997,100.0,100.0,,,,,,,100.0,100.0,1,S.J,,,,,,,,,,,,,,,,,,,400.0,1,1,0,1,2,22.22,19,5.26,0.44,51,1,1,4,6,6,6,9,12,-,1940,2260,115,127,47.52,101.95,126.92,46.15,1.0
Victor Hedman,T.B,D,82,2052.43,33.0,25.03,99.85,D,82.0,2052.43,25.03,2052.46,100.0,100.0,,,,,,,100.0,99.55,1,T.B,,,,,,,,,,,,,,,,,,,399.55,1,2,1,1,3,100.00,10,10.00,0.43,18,1,0,1,3,1,8,12,7,-,2161,1680,160,101,61.30,129.3,95.11,59.69,1.022
Roman Josi,NSH,D,80,2043.78,34.0,25.55,99.55,D,80.0,2043.78,25.55,2044.0,100.0,100.0,,,,,,,100.0,98.65,1,NSH,,,,,,,,,,,,,,,,,,,398.65,0,1,1,0,1,20.00,8,0.00,0.45,26,1,0,2,4,0,3,12,10,-,2255,1819,152,94,61.79,117.69,94.71,62.02,1.033
Cale Makar,COL,D,77,1976.43,25.0,25.67,99.25,D,77.0,1976.43,25.67,1976.5900000000001,100.0,100.0,,,,,,,100.0,97.73,1,COL,,,,,,,,,,,,,,,,,,,397.73,2,4,1,3,6,75.00,24,8.33,1.3,59,4,1,7,5,9,5,17,15,-,2386,1629,163,75,68.49,137.45,86.59,63.46,1.041
Alex Pietrangelo,VGK,D,80,1971.58,34.0,24.64,99.1,D,80.0,1971.58,24.64,1971.2,100.0,100.0,,,,,,,100.0,97.29,1,VGK,,,,,,,,,,,,,,,,,,,397.29,0,0,0,0,0,0.00,10,0.00,1.33,32,2,0,5,3,2,7,20,15,-,2083,1888,104,102,50.49,113.13,107.91,48.21,0.987
Morgan Rielly,TOR,D,82,1946.73,30.0,23.74,98.8,D,82.0,1946.73,23.74,1946.6799999999998,100.0,100.0,,,,,,,100.0,96.4,1,TOR,,,,,,,,,,,,,,,,,,,396.4,0,3,1,2,3,50.00,11,0.00,0.5,25,2,0,0,4,2,14,33,13,-,2195,1691,157,105,59.92,124.15,95.37,58.82,1.023
Ryan Suter,DAL,D,82,1939.48,39.0,23.65,98.65,D,82.0,1939.48,23.65,1939.3,100.0,100.0,,,,,,,100.0,95.91,1,DAL,,,,,,,,,,,,,,,,,,,395.90999999999997,1,3,2,1,4,44.44,8,12.50,0.55,44,2,1,1,12,2,18,27,17,-,1904,1770,91,84,52.00,103.23,88.87,60.61,1.006
Charlie McAvoy,BOS,D,78,1923.48,26.0,24.66,98.5,D,78.0,1923.48,24.66,1923.48,100.0,100.0,,,,,,,100.0,95.5,1,BOS,,,,,,,,,,,,,,,,,,,395.5,1,2,0,2,3,37.50,22,4.55,1.26,55,5,2,6,17,4,45,69,24,-,2133,1628,127,77,62.25,121.81,81.45,61.11,1.011
Quinn Hughes,VAN,D,76,1917.35,24.0,25.23,98.2,D,76.0,1917.35,25.23,1917.48,100.0,100.0,,,,,,,100.0,94.57,1,VAN,,,,,,,,,,,,,,,,,,,394.57,0,4,3,1,4,66.67,15,0.00,0.77,52,1,1,7,5,4,3,33,12,-,2103,1546,122,77,61.31,107.9,86.94,58.25,1.018
Josh Morrissey,WPG,D,79,1869.08,29.0,23.66,97.46,D,79.0,1869.08,23.66,1869.14,100.0,100.0,,,,,,,100.0,92.34,1,WPG,,,,,,,,,,,,,,,,,,,392.34000000000003,1,0,0,0,1,20.00,7,14.29,0.2,17,0,0,0,2,2,4,9,8,-,1907,1634,106,90,54.08,113.16,92.86,50.46,1.002
Adam Fox,NYR,D,78,1864.77,26.0,23.91,97.31,D,78.0,1864.77,23.91,1864.98,100.0,100.0,,,,,,,100.0,91.89,1,NYR,,,,,,,,,,,,,,,,,,,391.89,0,4,3,1,4,40.00,21,0.00,1.42,48,3,0,4,5,3,13,32,30,-,1802,1641,127,77,62.25,106.29,86.1,64.41,1.036
Jaccob Slavin,CAR,D,79,1858.87,30.0,23.53,97.16,D,79.0,1858.87,23.53,1858.8700000000001,100.0,100.0,,,,,,,100.0,90.95,1,CAR,,,,,,,,,,,,,,,,,,,390.95,1,2,0,2,3,37.50,18,5.56,0.9,39,3,4,4,2,4,5,17,16,-,1815,1569,107,74,59.12,109.73,85.92,62.16,1.02
John Carlson,WSH,D,78,1857.25,34.0,23.81,96.86,D,78.0,1857.25,23.81,1857.1799999999998,100.0,100.0,,,,,,,100.0,90.54,1,WSH,,,,,,,,,,,,,,,,,,,390.54,1,0,0,0,1,25.00,12,8.33,0.78,22,3,0,3,0,0,2,10,3,-,1943,1604,128,92,58.18,114.67,86.05,50.91,1.009
Leon Draisaitl,EDM,C,80,1787.93,28.0,22.35,95.66,F,80.0,1787.93,22.35,1788.0,100.0,100.0,,,,,,,100.0,86.94,1,EDM,,,,,,,,,,,,,,,,,,,386.94,4,9,8,1,13,61.90,34,11.76,3.53,67,16,5,5,21,14,20,56,13,47.21,2017,1544,145,84,63.32,133.42,87.57,64.60,1.034
Vladislav Gavrikov,CBJ,D,80,1783.3,28.0,22.29,95.36,D,80.0,1783.3,22.29,1783.1999999999998,100.0,100.0,,,,,,,99.77,86.36,1,CBJ,,,,,,,,,,,,,,,,,,,386.13,0,2,1,1,2,66.67,1,0.00,0.41,12,1,0,0,1,1,11,9,2,-,1424,1925,88,122,41.90,74.67,101.26,39.78,1.002
Noah Dobson,NYI,D,80,1716.73,24.0,21.46,93.11,D,80.0,1716.73,21.46,1716.8000000000002,100.0,100.0,,,,,,,99.3,80.54,1,NYI,,,,,,,,,,,,,,,,,,,379.84000000000003,0,0,0,0,0,0.00,5,0.00,0.51,16,2,1,1,4,1,4,16,7,-,1646,1613,94,75,55.62,87.33,84.26,55.43,1.018
Darnell Nurse,EDM,D,71,1778.45,29.0,25.05,95.21,D,71.0,1778.45,25.05,1778.55,92.86,100.0,,,,,,,100.0,86.04,1,EDM,,,,,,,,,,,,,,,,,,,378.90000000000003,1,3,0,3,4,28.57,37,2.70,1.73,78,3,2,5,10,3,42,37,45,-,1801,1753,102,97,51.26,102.55,93.57,60.20,1.004
Anze Kopitar,L.A,C,81,1682.32,36.0,20.77,91.92,F,81.0,1682.32,20.77,1682.37,100.0,100.0,,,,,,,98.59,78.73,1,L.A,,,,,,,,,,,,,,,,,,,377.32,1,2,2,0,3,60.00,7,14.29,0.76,13,4,1,1,2,2,12,3,1,60.87,1853,1394,92,93,49.73,103.21,80.71,44.21,0.969
Tyler Myers,VAN,D,82,1802.62,34.0,21.98,95.81,D,82.0,1802.62,21.98,1802.3600000000001,100.0,88.89,,,,,,,100.0,87.78,1,VAN,,,,,,,,,,,,,,,,,,,376.66999999999996,0,1,0,1,1,12.50,6,0.00,0.68,29,1,0,4,4,2,33,17,24,-,1568,1937,77,101,43.26,79.96,101.35,41.38,0.993
Jacob Trouba,NYR,D,81,1816.42,30.0,22.42,96.11,D,81.0,1816.42,22.42,1816.0200000000002,100.0,85.71,,,,,,,100.0,88.74,1,NYR,,,,,,,,,,,,,,,,,,,374.45,0,4,0,4,4,40.00,14,0.00,0.81,51,4,1,4,7,7,55,29,54,-,1610,1780,88,77,53.33,88.3,88.3,53.26,1.019
Shea Theodore,VGK,D,78,1804.7,28.0,23.14,95.96,D,78.0,1804.7,23.14,1804.92,100.0,85.71,,,,,,,100.0,88.24,1,VGK,,,,,,,,,,,,,,,,,,,373.95,0,0,0,0,0,0.00,10,0.00,0.35,29,0,0,1,1,5,1,8,12,-,2030,1555,105,79,57.07,107.63,85.12,58.82,0.997
Mattias Ekholm,NSH,D,76,1784.35,34.0,23.48,95.51,D,76.0,1784.35,23.48,1784.48,100.0,85.71,,,,,,,99.77,87.39,1,NSH,,,,,,,,,,,,,,,,,,,372.86999999999995,1,3,2,1,4,19.05,29,3.45,1.58,75,4,0,5,16,8,24,57,32,-,1424,1779,86,98,46.74,75.81,98.08,50.53,1.012
TJ Brodie,TOR,D,82,1747.53,34.0,21.31,94.16,D,82.0,1747.53,21.31,1747.4199999999998,100.0,88.89,,,,,,,99.53,83.78,1,TOR,,,,,,,,,,,,,,,,,,,372.2,0,0,0,0,0,-,1,0.00,0.02,3,0,0,0,0,0,2,0,1,-,1569,1595,88,84,51.16,79.94,78.31,46.88,1.007
Andrew Peeke,CBJ,D,82,1759.82,26.0,21.46,94.61,D,82.0,1759.82,21.46,1759.72,100.0,87.5,,,,,,,99.53,85.0,1,CBJ,,,,,,,,,,,,,,,,,,,372.03,0,0,0,0,0,-,1,0.00,0.02,7,0,0,0,0,0,5,17,6,-,1334,1973,65,112,36.72,61.81,100.14,41.00,0.99
Kevin Shattenkirk,ANA,D,82,1755.4,35.0,21.41,94.46,D,82.0,1755.4,21.41,1755.6200000000001,100.0,87.5,,,,,,,99.53,84.75,1,ANA,,,,,,,,,,,,,,,,,,,371.78,0,0,0,0,0,0.00,2,0.00,0.06,5,0,0,0,0,0,7,13,1,-,1526,1769,89,92,49.17,79.19,92.69,55.56,1.011
Mikhail Sergachev,T.B,D,78,1750.38,25.0,22.44,94.31,D,78.0,1750.38,22.44,1750.3200000000002,100.0,87.5,,,,,,,99.53,84.16,1,T.B,,,,,,,,,,,,,,,,,,,371.19,0,0,0,0,0,-,2,0.00,0.12,6,0,1,1,2,0,1,7,3,-,1479,1590,82,87,48.52,79.77,79.41,50.00,1.0
Miro Heiskanen,DAL,D,70,1742.1,24.0,24.89,93.86,D,70.0,1742.1,24.89,1742.3,100.0,87.5,,,,,,,99.53,82.73,1,DAL,,,,,,,,,,,,,,,,,,,369.76,2,6,3,3,8,53.33,34,5.88,1.61,85,5,2,14,15,9,24,83,38,-,1684,1535,80,70,53.33,92.23,77.26,63.75,1.005
Filip Hronek,DET,D,78,1718.02,26.0,22.03,93.26,D,78.0,1718.02,22.03,1718.3400000000001,100.0,87.5,,,,,,,99.3,81.53,1,DET,,,,,,,,,,,,,,,,,,,368.33,1,1,0,1,2,25.00,10,10.00,0.55,35,1,0,4,2,4,21,35,12,-,1443,1633,77,116,39.90,80.8,95.34,40.23,0.976
Brady Skjei,CAR,D,82,1733.67,30.0,21.14,93.71,D,82.0,1733.67,21.14,1733.48,100.0,85.71,,,,,,,99.53,82.35,1,CAR,,,,,,,,,,,,,,,,,,,367.59,0,5,4,1,5,62.50,17,0.00,0.94,53,3,1,8,6,5,17,14,14,-,1657,1562,83,77,51.88,85.89,88.89,48.04,1.006
Connor McDavid,EDM,C,80,1765.3,27.0,22.07,95.06,F,80.0,1765.3,22.07,1765.6,92.86,87.5,,,,,,,100.0,86.04,1,EDM,,,,,,,,,,,,,,,,,,,366.40000000000003,5,16,12,4,21,77.78,45,11.11,4.35,85,21,1,8,9,18,37,46,13,43.73,2260,1363,151,71,68.02,150.52,70.2,72.03,1.025
Devon Toews,COL,D,66,1674.37,30.0,25.37,91.32,D,66.0,1674.37,25.37,1674.42,100.0,88.89,,,,,,,98.14,78.18,1,COL,,,,,,,,,,,,,,,,,,,365.21,0,5,2,3,5,45.45,15,0.00,0.56,44,2,1,2,7,11,11,6,8,-,1749,1531,123,77,61.50,94.73,78.78,53.85,1.036
Noah Hanifin,CGY,D,81,1725.9,27.0,21.31,93.56,D,81.0,1725.9,21.31,1726.11,100.0,83.33,,,,,,,99.53,81.98,1,CGY,,,,,,,,,,,,,,,,,,,364.84,2,0,0,0,2,66.67,10,20.00,0.45,31,3,0,0,3,4,6,14,7,-,1831,1452,111,82,57.51,103.3,72.88,58.14,1.006
Kyle Connor,WPG,L,79,1720.32,27.0,21.78,93.41,F,79.0,1720.32,21.78,1720.6200000000001,100.0,83.33,,,,,,,99.53,81.53,1,WPG,,,,,,,,,,,,,,,,,,,364.39,2,2,1,1,4,66.67,13,15.38,0.78,25,5,0,4,2,1,4,6,2,-,1880,1592,116,92,55.77,113.11,96.79,52.34,1.011
Oliver Ekman-Larsson,VAN,D,79,1762.73,32.0,22.31,94.91,D,79.0,1762.73,22.31,1762.49,100.0,77.78,,,,,,,99.53,86.43,1,VAN,,,,,,,,,,,,,,,,,,,363.74,2,0,0,0,2,16.67,20,10.00,1.17,58,4,1,6,5,2,53,45,16,-,1663,1768,79,83,48.77,87.83,88.42,53.16,1.002
Tomas Hertl,S.J,C,82,1635.1,30.0,19.94,90.42,F,82.0,1635.1,19.94,1635.0800000000002,100.0,88.89,,,,,,,97.89,75.45,1,S.J,,,,,,,,,,,,,,,,,,,362.23,0,0,0,0,0,-,10,0.00,1.94,17,10,0,2,2,0,27,14,4,54.05,1670,1577,105,101,50.97,85.22,92.9,49.02,0.998
Adam Pelech,NYI,D,78,1660.05,29.0,21.28,91.02,D,78.0,1660.05,21.28,1659.8400000000001,100.0,85.71,,,,,,,98.12,77.38,1,NYI,,,,,,,,,,,,,,,,,,,361.21,0,2,1,1,2,66.67,4,0.00,0.09,14,0,0,0,5,3,17,13,9,-,1385,1642,73,72,50.34,70.61,81.08,47.06,1.013
Hampus Lindholm,BOS,D,71,1597.2,30.0,22.5,88.92,D,10.0,222.88,22.29,1582.59,100.0,87.5,ANA,BOS,0,1599.63,1582.59,0.0,96.72,71.49,2,Multi,ANA,BOS,0,1599.63,1582.59,0.0,97.18969555035129,96.72131147540983,0.0,100.0,100.0,0.0,73.87387387387388,71.49321266968326,0.0,62.5,87.5,0.0,355.71,1,3,1,2,4,33.33,12,8.33,0.29,33,1,0,2,16,1,9,41,13,-,1422,1545,76,72,51.35,72.81,80.34,53.16,1.013
Evgeny Kuznetsov,WSH,C,79,1602.15,32.0,20.28,89.07,F,79.0,1602.15,20.28,1602.1200000000001,100.0,83.33,,,,,,,97.42,72.97,1,WSH,,,,,,,,,,,,,,,,,,,353.71999999999997,2,2,0,2,4,80.00,12,16.67,0.95,26,4,3,1,3,1,6,3,1,54.69,1668,1317,116,81,58.88,98.54,72.96,49.47,1.011
Alexander Romanov,MTL,D,79,1611.15,24.0,20.39,89.67,D,79.0,1611.15,20.39,1610.81,93.75,87.5,,,,,,,97.66,74.11,1,MTL,,,,,,,,,,,,,,,,,,,353.02,0,1,0,1,1,25.00,6,0.00,0.27,22,0,1,1,3,2,7,22,12,-,1293,1813,65,113,36.52,59.93,91.34,30.34,0.977
Esa Lindell,DAL,D,76,1675.43,30.0,22.05,91.47,D,76.0,1675.43,22.05,1675.8,100.0,75.0,,,,,,,98.13,79.09,1,DAL,,,,,,,,,,,,,,,,,,,352.22,1,2,1,1,3,30.00,16,6.25,1.16,53,2,3,6,7,8,26,60,42,-,1285,1761,65,91,41.67,68.63,77.73,46.75,0.988
K'Andre Miller,NYR,D,82,1688.57,24.0,20.59,92.22,D,82.0,1688.57,20.59,1688.3799999999999,100.0,71.43,,,,,,,98.83,80.18,1,NYR,,,,,,,,,,,,,,,,,,,350.44,0,2,2,0,2,18.18,12,0.00,0.69,48,1,0,4,7,6,28,17,19,-,1455,1544,76,64,54.29,73.88,76.12,54.43,1.019
Neal Pionk,WPG,D,77,1627.75,28.0,21.14,89.97,D,77.0,1627.75,21.14,1627.78,93.33,83.33,,,,,,,97.67,75.23,1,WPG,,,,,,,,,,,,,,,,,,,349.56,0,1,0,1,1,20.00,4,0.00,0.31,14,2,0,2,1,1,15,16,12,-,1526,1575,90,78,53.57,87.37,80.61,50.00,1.018
Dmitry Orlov,WSH,D,76,1593.17,32.0,20.96,88.77,D,76.0,1593.17,20.96,1592.96,94.12,83.33,,,,,,,97.42,72.52,1,WSH,,,,,,,,,,,,,,,,,,,347.39,1,4,2,2,5,83.33,20,5.00,1.03,42,3,2,5,9,3,18,17,16,-,1481,1359,88,65,57.52,74.88,62.45,47.95,1.018
Cody Ceci,EDM,D,78,1629.92,30.0,20.9,90.12,D,78.0,1629.92,20.9,1630.1999999999998,85.71,87.5,,,,,,,97.89,75.68,1,EDM,,,,,,,,,,,,,,,,,,,346.78,2,2,2,0,4,36.36,21,9.52,0.71,49,3,4,5,9,5,31,70,20,-,1394,1669,74,89,45.40,75.19,86.54,48.35,1.003
Alex Iafallo,L.A,L,79,1461.67,30.0,18.5,81.89,F,79.0,1461.67,18.5,1461.5,92.31,100.0,,,,,,,91.1,62.9,1,L.A,,,,,,,,,,,,,,,,,,,346.31,0,1,1,0,1,50.00,1,0.00,0.02,4,0,0,0,0,1,6,3,6,-,1607,1194,71,69,50.71,85.45,67.54,45.31,0.972
J.T. Miller,VAN,C,80,1684.23,31.0,21.05,92.07,F,80.0,1684.23,21.05,1684.0,100.0,66.67,,,,,,,98.83,80.09,1,VAN,,,,,,,,,,,,,,,,,,,345.59000000000003,1,3,3,0,4,57.14,17,5.88,2.51,41,10,1,2,3,5,41,26,7,55.22,1847,1530,129,88,59.45,104.21,93.73,59.80,1.031
Mikko Rantanen,COL,R,75,1572.83,27.0,20.97,88.02,F,75.0,1572.83,20.97,1572.75,100.0,77.78,,,,,,,96.74,70.91,1,COL,,,,,,,,,,,,,,,,,,,345.42999999999995,3,3,2,1,6,60.00,25,12.00,2.09,44,9,1,3,3,8,19,31,10,45.10,2039,1226,159,70,69.43,121.55,65.31,65.45,1.042
Ryan McDonagh,T.B,D,71,1589.2,35.0,22.38,88.47,D,71.0,1589.2,22.38,1588.98,100.0,75.0,,,,,,,96.98,71.95,1,T.B,,,,,,,,,,,,,,,,,,,343.93,0,0,0,0,0,0.00,5,0.00,0.36,15,1,1,1,5,2,10,10,12,-,1172,1626,63,75,45.65,63.96,83.38,44.83,1.015
Brandon Carlo,BOS,D,79,1556.53,27.0,19.7,87.57,D,79.0,1556.53,19.7,1556.3,100.0,75.0,,,,,,,96.49,70.27,1,BOS,,,,,,,,,,,,,,,,,,,341.76,3,1,0,1,4,40.00,17,17.65,0.87,35,2,2,2,7,4,23,38,16,-,1266,1478,52,71,42.28,58.99,67.17,39.06,0.98
Auston Matthews,TOR,C,73,1504.5,26.0,20.61,84.58,F,73.0,1504.5,20.61,1504.53,100.0,77.78,,,,,,,94.39,65.32,1,TOR,,,,,,,,,,,,,,,,,,,337.49,1,2,2,0,3,75.00,16,6.25,1.45,33,5,0,1,0,3,24,3,3,56.96,1959,1098,147,81,64.47,117.81,57.82,64.23,1.008
Adrian Kempe,L.A,"C, L",78,1449.53,27.0,18.58,80.99,F,78.0,1449.53,18.58,1449.2399999999998,84.62,100.0,,,,,,,90.63,61.54,1,L.A,,,,,,,,,,,,,,,,,,,336.78999999999996,3,1,1,0,4,100.00,17,17.65,1.83,32,7,2,3,1,1,12,5,0,-,1625,1236,80,74,51.95,90.09,75.8,48.15,0.983
Alexandre Carrier,NSH,D,77,1615.55,27.0,20.98,89.82,D,77.0,1615.55,20.98,1615.46,91.67,71.43,,,,,,,97.66,75.23,1,NSH,,,,,,,,,,,,,,,,,,,335.99,1,1,0,1,2,100.00,8,12.50,0.47,14,1,0,0,1,2,3,23,13,-,1265,1662,73,63,53.68,64.39,81.92,57.97,1.033
Jake McCabe,CHI,D,75,1522.8,30.0,20.3,85.78,D,75.0,1522.8,20.3,1522.5,87.5,85.71,,,,,,,95.35,67.42,1,CHI,,,,,,,,,,,,,,,,,,,335.97999999999996,1,0,0,0,1,25.00,3,33.33,0.2,10,1,0,1,6,6,19,26,10,0.00,1083,1771,50,105,32.26,48.71,85.6,31.88,0.977
Chandler Stephenson,VGK,C,79,1525.12,30.0,19.31,86.08,F,79.0,1525.12,19.31,1525.49,100.0,71.43,,,,,,,95.29,67.87,1,VGK,,,,,,,,,,,,,,,,,,,334.59000000000003,0,0,0,0,0,-,5,0.00,0.37,6,3,0,0,4,2,16,13,6,39.34,1567,1458,100,89,52.91,92.14,84.17,52.43,0.999
Aaron Ekblad,FLA,D,61,1519.7,28.0,24.91,85.63,D,61.0,1519.7,24.91,1519.51,93.75,77.78,,,,,,,95.08,67.12,1,FLA,,,,,,,,,,,,,,,,,,,333.73,0,3,0,3,3,20.00,23,0.00,0.88,63,0,0,9,22,1,56,59,27,-,1696,1251,125,72,63.45,101.86,74.22,60.38,1.031
Hampus Lindholm,ANA,D,71,1597.2,30.0,22.5,88.92,D,61.0,1374.32,22.53,1599.63,100.0,62.5,ANA,BOS,0,1599.63,1582.59,0.0,97.19,73.87,1,Multi,ANA,BOS,0,1599.63,1582.59,0.0,97.18969555035129,96.72131147540983,0.0,100.0,100.0,0.0,73.87387387387388,71.49321266968326,0.0,62.5,87.5,0.0,333.56,1,3,1,2,4,33.33,12,8.33,0.29,33,1,0,2,16,1,9,41,13,-,1422,1545,76,72,51.35,72.81,80.34,53.16,1.013
Brett Pesce,CAR,D,70,1519.05,29.0,21.7,85.48,D,70.0,1519.05,21.7,1519.0,100.0,71.43,,,,,,,94.85,66.97,1,CAR,,,,,,,,,,,,,,,,,,,333.25,0,0,0,0,0,0.00,1,0.00,0.05,4,0,0,1,0,0,2,2,3,-,1436,1366,71,78,47.65,74.55,77.57,46.88,0.994
Evan Bouchard,EDM,D,81,1604.17,24.0,19.8,89.22,D,81.0,1604.17,19.8,1603.8,85.71,75.0,,,,,,,97.89,73.87,1,EDM,,,,,,,,,,,,,,,,,,,332.46999999999997,4,12,3,9,16,59.26,48,8.33,2.26,123,4,1,12,15,11,24,52,32,-,1728,1453,89,81,52.35,92.34,78.9,56.70,0.991
Dmitry Kulikov,MIN,D,80,1455.67,33.0,18.2,81.59,D,80.0,1455.67,18.2,1456.0,88.24,87.5,,,,,,,90.89,63.35,1,MIN,,,,,,,,,,,,,,,,,,,329.98,0,0,0,0,0,0.00,12,0.00,0.57,37,1,2,3,7,6,49,68,19,-,1241,1471,69,66,51.11,55.91,70.42,43.24,1.022
