Player,Team,Position,GP,TOI,Age,atoi,total_percentile,Skater,team_gp,team_TOI,team_atoi,adj_toi,QoTF,QoTD,Team 1_x,Team 2_x,Team 3_x,adj_toi 1_x,adj_toi 2_x,adj_toi 3_x,QoCF,QoCD,team_no,team_count,Team 1_y,Team 2_y,Team 3_y,adj_toi 1_y,adj_toi 2_y,adj_toi 3_y,QoCF 1,QoCF 2,QoCF 3,QoTF 1,QoTF 2,QoTF 3,QoCD 1,QoCD 2,QoCD 3,QoTD 1,QoTD 2,QoTD 3,toughest_min,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iHDCF,Rush Attempts,Rebounds Created,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs %,CF,CA,GF,GA,GF%,xGF,xGA,HDGF%,PDO
Alex Ovechkin,WSH,L,77,1584.03,38.0,20.57,88.32,F,77.0,1584.03,20.57,1583.89,94.12,66.67,,,,,,,97.18,71.62,1,WSH,,,,,,,,,,,,,,,,,,,329.59000000000003,0,0,0,0,0,0.00,3,0.00,0.32,9,2,0,1,1,0,12,2,0,-,1812,1258,129,77,62.62,106.09,66.83,55.67,1.019
Nate Schmidt,WPG,D,77,1556.12,32.0,20.21,87.43,D,77.0,1556.12,20.21,1556.17,93.33,66.67,,,,,,,96.74,70.27,1,WPG,,,,,,,,,,,,,,,,,,,327.01,1,0,0,0,1,50.00,4,25.00,0.17,12,0,0,0,0,1,4,4,6,-,1540,1436,75,68,52.45,81.38,73.27,44.87,1.007
Mika Zibanejad,NYR,C,81,1590.25,31.0,19.63,88.62,F,81.0,1590.25,19.63,1590.03,100.0,57.14,,,,,,,97.19,72.52,1,NYR,,,,,,,,,,,,,,,,,,,326.84999999999997,1,4,4,0,5,83.33,15,6.67,2.17,38,8,1,2,12,6,11,16,11,50.23,1587,1388,128,65,66.32,101.64,70.94,68.18,1.053
Phillip Danault,L.A,"C, L",79,1431.93,31.0,18.13,79.49,F,79.0,1431.93,18.13,1432.27,76.92,100.0,,,,,,,88.99,60.63,1,L.A,,,,,,,,,,,,,,,,,,,326.54,0,1,0,1,1,33.33,7,0.00,0.72,10,4,0,1,0,1,6,7,4,47.69,1664,1282,81,69,54.00,93.57,78.5,59.09,0.985
Elias Lindholm,CGY,C,82,1635.93,29.0,19.95,90.57,F,82.0,1635.93,19.95,1635.8999999999999,100.0,50.0,,,,,,,98.14,76.58,1,CGY,,,,,,,,,,,,,,,,,,,324.72,3,4,2,2,7,70.00,17,17.65,1.78,33,9,2,1,0,3,29,9,11,55.17,1883,1381,149,70,68.04,115.86,74.87,70.00,1.051
Samuel Girard,COL,D,67,1449.98,26.0,21.64,81.14,D,67.0,1449.98,21.64,1449.88,93.33,77.78,,,,,,,90.47,62.73,1,COL,,,,,,,,,,,,,,,,,,,324.30999999999995,0,3,0,3,3,37.50,8,0.00,0.34,30,0,0,2,4,1,10,22,14,-,1486,1327,77,68,53.10,62.19,62.52,52.17,1.008
William Nylander,TOR,"C, R",81,1480.12,28.0,18.27,82.78,F,81.0,1480.12,18.27,1479.87,86.67,77.78,,,,,,,92.52,64.41,1,TOR,,,,,,,,,,,,,,,,,,,321.38,3,0,0,0,3,75.00,17,17.65,1.13,26,6,3,4,2,1,5,6,5,80.00,1849,1218,121,82,59.61,109.8,64.2,54.08,1.005
Martin Fehervary,WSH,D,79,1552.58,24.0,19.65,86.98,D,79.0,1552.58,19.65,1552.35,88.24,66.67,,,,,,,96.71,69.37,1,WSH,,,,,,,,,,,,,,,,,,,320.99,2,1,0,1,3,100.00,8,25.00,0.38,14,1,1,0,0,0,13,12,6,-,1335,1599,76,78,49.35,67.95,80.73,48.75,1.01
Gustav Forsling,FLA,D,71,1506.48,28.0,21.22,84.73,D,71.0,1506.48,21.22,1506.62,93.75,66.67,,,,,,,94.61,65.77,1,FLA,,,,,,,,,,,,,,,,,,,320.8,4,6,5,1,10,52.63,45,8.89,1.71,102,4,3,4,10,14,36,40,19,-,1491,1424,94,76,55.29,79.49,79.9,55.21,1.015
Ryan O'Reilly,STL,C,78,1487.07,33.0,19.06,83.23,F,78.0,1487.07,19.06,1486.6799999999998,100.0,62.5,,,,,,,92.72,64.41,1,STL,,,,,,,,,,,,,,,,,,,319.63,0,1,1,0,1,25.00,7,0.00,0.52,9,4,0,1,2,3,1,9,7,45.74,1359,1282,100,65,60.61,80.48,80.43,57.69,1.035
Ryan Lindgren,NYR,D,78,1567.83,26.0,20.1,87.87,D,78.0,1567.83,20.1,1567.8000000000002,93.75,57.14,,,,,,,96.72,71.62,1,NYR,,,,,,,,,,,,,,,,,,,319.23,0,2,2,0,2,25.00,8,0.00,0.31,32,1,0,1,5,5,18,43,15,-,1191,1545,64,61,51.20,60.45,76.28,51.39,1.021
Gustav Nyquist,CBJ,C,82,1463.23,34.0,17.84,82.04,F,82.0,1463.23,17.84,1462.8799999999999,100.0,62.5,,,,,,,91.08,64.09,1,CBJ,,,,,,,,,,,,,,,,,,,317.67,1,2,2,0,3,100.00,5,20.00,0.99,13,4,1,0,1,6,6,8,2,40.00,1342,1459,95,105,47.50,74.61,83.23,44.55,1.003
Elias Pettersson,VAN,C,80,1487.45,25.0,18.59,83.38,F,80.0,1487.45,18.59,1487.2,92.86,66.67,,,,,,,93.22,64.71,1,VAN,,,,,,,,,,,,,,,,,,,317.46000000000004,0,3,1,2,3,60.00,15,0.00,1.68,38,8,0,2,5,5,22,21,11,51.19,1717,1216,104,61,63.03,97.7,67.13,57.65,1.026
Sebastian Aho,CAR,"C, R",79,1496.68,26.0,18.95,84.13,F,79.0,1496.68,18.95,1497.05,100.0,57.14,,,,,,,93.91,65.0,1,CAR,,,,,,,,,,,,,,,,,,,316.04999999999995,3,3,3,0,6,85.71,20,15.00,2.24,43,12,0,4,13,5,19,17,4,43.51,1703,1205,111,68,62.01,107.72,73.36,60.75,1.021
Sebastian Aho,CAR,"C, R",79,1496.68,26.0,18.95,84.13,F,79.0,1496.68,18.95,1497.05,100.0,57.14,,,,,,,93.91,65.0,1,CAR,,,,,,,,,,,,,,,,,,,316.04999999999995,3,3,3,0,6,85.71,20,15.00,2.24,43,12,0,4,13,5,19,17,4,43.51,480,566,26,30,46.43,21.42,27.01,56.00,1.007
Matt Roy,L.A,D,67,1405.9,29.0,20.98,77.69,D,67.0,1405.9,20.98,1405.66,69.23,100.0,,,,,,,87.35,58.82,1,L.A,,,,,,,,,,,,,,,,,,,315.4,0,1,0,1,1,25.00,5,0.00,0.33,16,1,0,0,1,0,15,8,9,-,1412,1294,68,61,52.71,73.46,69.26,60.00,0.995
Kevin Fiala,MIN,L,82,1446.73,27.0,17.64,80.39,F,82.0,1446.73,17.64,1446.48,88.24,75.0,,,,,,,89.95,61.99,1,MIN,,,,,,,,,,,,,,,,,,,315.18,1,0,0,0,1,33.33,14,7.14,0.82,29,4,1,1,2,2,10,5,2,-,1586,1231,110,74,59.78,80.32,66.72,62.07,1.021
Steven Stamkos,T.B,C,81,1495.18,34.0,18.46,83.98,F,81.0,1495.18,18.46,1495.26,93.33,62.5,,,,,,,93.95,65.16,1,T.B,,,,,,,,,,,,,,,,,,,314.94,2,1,0,1,3,75.00,6,33.33,0.88,15,5,0,2,2,1,22,5,2,49.15,1657,1192,140,70,66.67,99.05,71.26,62.86,1.05
Jake Guentzel,PIT,L,76,1527.4,29.0,20.1,86.23,F,76.0,1527.4,20.1,1527.6000000000001,100.0,50.0,,,,,,,95.56,68.92,1,PIT,,,,,,,,,,,,,,,,,,,314.48,3,3,1,2,6,85.71,22,13.64,2.72,43,15,2,2,5,7,7,15,10,40.00,1900,1310,126,70,64.29,115.46,75.68,61.90,1.03
Joe Pavelski,DAL,C,82,1514.87,39.0,18.47,85.18,F,82.0,1514.87,18.47,1514.54,100.0,50.0,,,,,,,94.63,67.27,1,DAL,,,,,,,,,,,,,,,,,,,311.9,1,2,2,0,3,60.00,21,4.76,3.37,60,16,5,4,10,9,31,18,14,49.09,1757,1256,115,72,61.50,102.12,64.65,72.34,1.017
Alex Wennberg,SEA,C,80,1427.52,29.0,17.84,78.97,F,80.0,1427.52,17.84,1427.2,100.0,62.5,,,,,,,87.67,61.71,1,SEA,,,,,,,,,,,,,,,,,,,311.88,1,1,0,1,2,50.00,11,9.09,1.43,25,9,2,2,4,3,11,31,24,43.33,1316,1161,62,84,42.47,61.79,68.38,45.21,0.957
Charlie Coyle,BOS,C,82,1426.82,32.0,17.4,78.74,F,82.0,1426.82,17.4,1426.8,100.0,62.5,,,,,,,87.35,61.71,1,BOS,,,,,,,,,,,,,,,,,,,311.56,1,2,2,0,3,75.00,16,6.25,2.46,35,14,1,4,2,5,53,25,18,49.68,1384,1304,73,78,48.34,73.85,68.95,41.56,0.98
Ilya Lyubushkin,ARI,D,77,1342.62,30.0,17.44,70.66,D,46.0,831.92,18.09,1392.93,100.0,66.67,ARI,TOR,0,1392.93,1268.1899999999998,0.0,85.71,58.45,1,Multi,ARI,TOR,0,1392.93,1268.1899999999998,0.0,85.71428571428572,72.42990654205607,0.0,100.0,73.33333333333334,0.0,58.44748858447488,47.51131221719457,0.0,66.66666666666666,55.55555555555556,0.0,310.83,0,3,1,2,3,50.00,3,0.00,0.22,9,1,0,1,7,2,28,18,7,-,1033,1347,52,78,40.00,48.65,64.19,43.10,0.993
Pierre-Luc Dubois,WPG,L,81,1532.97,25.0,18.93,86.53,F,81.0,1532.97,18.93,1533.33,93.33,50.0,,,,,,,96.27,68.92,1,WPG,,,,,,,,,,,,,,,,,,,308.52,1,0,0,0,1,33.33,3,33.33,0.5,10,1,0,0,3,1,23,12,1,46.77,1785,1323,106,74,58.89,104.61,74.96,59.79,1.01
Jean-Gabriel Pageau,NYI,C,77,1360.88,31.0,17.67,72.9,F,77.0,1360.88,17.67,1360.5900000000001,100.0,71.43,,,,,,,81.92,54.3,1,NYI,,,,,,,,,,,,,,,,,,,307.65,0,0,0,0,0,0.00,5,0.00,1.06,10,5,0,3,2,0,4,5,3,60.32,1200,1355,70,63,52.63,69.05,72.64,57.53,1.017
Matt Duchene,NSH,C,78,1483.07,33.0,19.01,82.93,F,78.0,1483.07,19.01,1482.7800000000002,91.67,57.14,,,,,,,92.52,64.86,1,NSH,,,,,,,,,,,,,,,,,,,306.19,1,2,2,0,3,50.00,21,4.76,2.27,55,9,1,7,16,15,19,35,21,53.91,1725,1191,131,77,62.98,94.49,66.03,65.14,1.027
Zach Hyman,EDM,"C, L",76,1479.33,32.0,19.46,82.63,F,76.0,1479.33,19.46,1478.96,85.71,62.5,,,,,,,92.27,64.86,1,EDM,,,,,,,,,,,,,,,,,,,305.34,9,6,4,2,15,62.50,56,16.07,7.54,103,36,3,10,5,4,47,62,8,100.00,1555,1371,89,80,52.66,94.46,75.86,57.14,1.003
Brandon Montour,FLA,D,81,1450.37,30.0,17.91,81.29,D,81.0,1450.37,17.91,1450.71,93.75,55.56,,,,,,,90.4,63.96,1,FLA,,,,,,,,,,,,,,,,,,,303.67,1,5,2,3,6,37.50,30,3.33,1.55,79,5,2,7,11,9,44,57,27,-,1627,1211,87,66,56.86,79.17,63.82,57.32,1.006
Vincent Trocheck,CAR,C,81,1447.78,30.0,17.87,80.54,F,81.0,1447.78,17.87,1447.47,92.86,57.14,,,,,,,89.93,62.44,1,CAR,,,,,,,,,,,,,,,,,,,302.37,3,5,4,1,8,66.67,23,13.04,3.73,57,18,2,9,6,8,57,44,13,55.56,1662,1161,95,45,67.86,96.22,71.25,61.11,1.037
Brayden McNabb,VGK,D,69,1359.3,33.0,19.7,72.6,D,69.0,1359.3,19.7,1359.3,94.12,71.43,,,,,,,81.65,54.3,1,VGK,,,,,,,,,,,,,,,,,,,301.5,1,2,1,1,3,60.00,13,7.69,0.41,29,1,0,2,3,1,11,17,19,-,1143,1451,59,75,44.03,60.51,71.94,46.34,0.99
Nathan MacKinnon,COL,C,65,1368.97,28.0,21.06,74.55,F,65.0,1368.97,21.06,1368.8999999999999,93.33,66.67,,,,,,,84.42,55.45,1,COL,,,,,,,,,,,,,,,,,,,299.87,3,4,3,1,7,63.64,36,8.33,2.53,71,9,0,9,11,8,8,12,13,45.56,1776,1144,124,65,65.61,102.88,62.64,58.82,1.028
Chris Kreider,NYR,L,81,1517.13,33.0,18.73,85.33,F,81.0,1517.13,18.73,1517.13,93.75,42.86,,,,,,,95.08,67.57,1,NYR,,,,,,,,,,,,,,,,,,,299.26,4,0,0,0,4,66.67,20,20.00,2.96,42,14,1,6,6,3,37,15,3,14.29,1560,1270,118,62,65.56,99.12,66.54,66.97,1.04
John Tavares,TOR,C,79,1427.52,33.0,18.07,78.97,F,79.0,1427.52,18.07,1427.53,80.0,66.67,,,,,,,88.55,61.71,1,TOR,,,,,,,,,,,,,,,,,,,296.93,0,1,1,0,1,33.33,11,0.00,0.67,21,5,1,0,4,6,28,12,4,55.36,1782,1208,119,79,60.10,105.39,62.67,57.58,1.011
Derek Forbort,BOS,D,76,1375.97,32.0,18.1,75.0,D,76.0,1375.97,18.1,1375.6000000000001,92.86,62.5,,,,,,,84.54,56.31,1,BOS,,,,,,,,,,,,,,,,,,,296.21000000000004,0,0,0,0,0,0.00,1,0.00,0.04,3,0,0,0,2,0,8,12,5,-,1033,1372,51,78,39.53,51.6,66.37,39.13,0.973
Brenden Dillon,WPG,D,79,1487.78,33.0,18.83,83.53,D,79.0,1487.78,18.83,1487.57,86.67,50.0,,,,,,,93.47,65.32,1,WPG,,,,,,,,,,,,,,,,,,,295.46,0,3,2,1,3,60.00,0,-,0.12,8,0,0,0,0,0,10,9,2,-,1289,1595,69,79,46.62,72.76,85.37,43.21,1.004
Roope Hintz,DAL,"C, L",80,1442.88,27.0,18.04,80.24,F,80.0,1442.88,18.04,1443.1999999999998,92.86,50.0,,,,,,,89.49,62.73,1,DAL,,,,,,,,,,,,,,,,,,,295.08,1,2,2,0,3,37.50,12,8.33,2.09,35,10,4,4,1,6,20,21,7,55.88,1646,1233,108,69,61.02,98.02,62.68,74.42,1.024
Nick Jensen,WSH,D,76,1470.25,33.0,19.35,82.34,D,76.0,1470.25,19.35,1470.6000000000001,88.24,50.0,,,,,,,91.78,64.86,1,WSH,,,,,,,,,,,,,,,,,,,294.88,0,0,0,0,0,-,1,0.00,0.1,4,0,0,0,4,1,0,5,1,-,1175,1449,74,68,52.11,56.77,72.0,46.48,1.024
Matthew Tkachuk,CGY,L,82,1467.6,26.0,17.9,82.19,F,82.0,1467.6,17.9,1467.8,87.5,50.0,,,,,,,91.84,64.41,1,CGY,,,,,,,,,,,,,,,,,,,293.75,4,7,6,1,11,61.11,56,7.14,4.88,95,25,3,9,13,7,59,30,5,0.00,1939,1040,147,51,74.24,114.32,54.87,72.38,1.052
Anthony Cirelli,T.B,C,76,1389.97,26.0,18.29,76.35,F,76.0,1389.97,18.29,1390.04,86.67,62.5,,,,,,,86.05,57.92,1,T.B,,,,,,,,,,,,,,,,,,,293.14,0,1,1,0,1,100.00,4,0.00,0.92,12,6,2,4,3,1,19,20,6,36.84,1288,1240,73,64,53.28,68.14,68.02,58.97,1.008
Brandon Hagel,CHI,L,77,1259.47,25.0,16.36,62.28,F,55.0,960.53,17.46,1344.42,87.5,71.43,CHI,T.B,0,1344.42,1046.43,0.0,80.19,53.39,1,Multi,CHI,T.B,0,1344.42,1046.43,0.0,80.18648018648018,51.28205128205128,0.0,87.5,53.333333333333336,0.0,53.39366515837104,30.316742081447963,0.0,71.42857142857143,37.5,0.0,292.51,1,1,0,1,2,100.00,5,20.00,0.55,13,2,1,0,4,4,10,19,3,33.33,1196,1175,71,80,47.02,59.79,65.16,50.63,0.987
Pius Suter,DET,C,82,1387.68,28.0,16.92,76.2,F,82.0,1387.68,16.92,1387.44,84.62,62.5,,,,,,,85.78,57.21,1,DET,,,,,,,,,,,,,,,,,,,290.11,2,1,1,0,3,37.50,21,9.52,3.97,41,22,2,5,0,4,13,11,4,25.00,1190,1345,54,81,40.00,65.31,72.74,39.39,0.978
Bo Horvat,VAN,C,70,1363.62,29.0,19.48,73.2,F,70.0,1363.62,19.48,1363.6000000000001,85.71,66.67,,,,,,,82.94,54.75,1,VAN,,,,,,,,,,,,,,,,,,,290.07,1,2,0,2,3,75.00,13,7.69,0.52,19,0,0,1,0,2,6,5,2,52.38,1539,1212,95,64,59.75,84.0,67.0,58.44,1.016
Tyler Seguin,DAL,C,81,1442.87,32.0,17.81,80.09,F,81.0,1442.87,17.81,1442.61,85.71,50.0,,,,,,,89.49,62.73,1,DAL,,,,,,,,,,,,,,,,,,,287.93,3,5,3,2,8,61.54,41,7.32,4.51,72,25,2,8,5,11,32,20,4,55.68,1484,1351,82,77,51.57,84.04,69.83,60.64,0.997
Brett Kulak,MTL,D,74,1313.85,30.0,17.75,67.07,D,56.0,1006.35,17.97,1329.78,93.75,62.5,MTL,EDM,0,1329.78,1263.9199999999998,0.0,77.8,52.47,1,Multi,MTL,EDM,0,1329.78,1263.9199999999998,0.0,77.80373831775701,72.36533957845434,0.0,93.75,71.42857142857143,0.0,52.46636771300449,47.51131221719457,0.0,62.5,50.0,0.0,286.52,1,6,4,2,7,53.85,20,5.00,0.77,54,0,2,5,13,6,19,59,39,-,1123,1170,57,69,45.24,52.92,56.72,37.88,0.986
Tyson Barrie,EDM,D,73,1384.12,32.0,18.96,75.75,D,73.0,1384.12,18.96,1384.0800000000002,78.57,62.5,,,,,,,85.48,57.66,1,EDM,,,,,,,,,,,,,,,,,,,284.21,0,0,0,0,0,-,0,-,0.0,2,0,0,0,0,0,0,1,0,-,1489,1163,97,58,62.58,85.36,58.77,65.28,1.035
Jonathan Marchessault,VGK,C,76,1336.15,33.0,17.58,70.06,F,76.0,1336.15,17.58,1336.08,94.12,57.14,,,,,,,78.82,53.39,1,VGK,,,,,,,,,,,,,,,,,,,283.46999999999997,2,1,1,0,3,60.00,23,8.70,1.83,36,6,1,5,4,2,23,7,3,50.00,1654,1060,82,59,58.16,89.4,58.87,57.89,0.979
Artemi Panarin,NYR,L,75,1441.68,32.0,19.22,79.94,F,75.0,1441.68,19.22,1441.5,87.5,42.86,,,,,,,89.23,63.06,1,NYR,,,,,,,,,,,,,,,,,,,282.65000000000003,3,5,2,3,8,72.73,35,8.57,1.96,73,6,4,6,9,2,11,13,6,-,1604,1226,115,49,70.12,93.5,62.33,71.43,1.059
Matt Grzelcyk,BOS,D,73,1367.65,30.0,18.73,74.25,D,73.0,1367.65,18.73,1367.29,92.86,50.0,,,,,,,83.37,55.86,1,BOS,,,,,,,,,,,,,,,,,,,282.09000000000003,0,0,0,0,0,0.00,3,0.00,0.17,5,0,1,0,2,1,6,8,5,-,1431,1057,75,48,60.98,67.96,45.66,64.62,1.002
Teuvo Teravainen,CAR,L,77,1362.87,29.0,17.7,73.05,F,77.0,1362.87,17.7,1362.8999999999999,85.71,57.14,,,,,,,82.67,54.75,1,CAR,,,,,,,,,,,,,,,,,,,280.27,1,2,1,1,3,75.00,15,6.67,1.13,42,3,0,5,6,3,3,13,6,25.00,1530,1084,101,50,66.89,99.17,67.04,64.77,1.036
Calvin de Haan,CHI,D,69,1308.08,33.0,18.96,66.77,D,69.0,1308.08,18.96,1308.24,81.25,71.43,,,,,,,75.81,49.32,1,CHI,,,,,,,,,,,,,,,,,,,277.81,0,0,0,0,0,-,0,-,0.01,1,0,0,0,1,0,1,1,1,-,1050,1351,40,80,33.33,44.39,63.85,31.58,0.957
Trevor Moore,L.A,C,81,1270.68,29.0,15.69,64.67,F,81.0,1270.68,15.69,1270.8899999999999,69.23,87.5,,,,,,,73.77,46.61,1,L.A,,,,,,,,,,,,,,,,,,,277.11,1,0,0,0,1,33.33,13,7.69,1.24,24,7,0,2,0,3,10,13,3,100.00,1360,1103,68,52,56.67,75.66,57.19,61.11,0.999
Mathew Barzal,NYI,C,73,1315.43,27.0,18.02,67.51,F,73.0,1315.43,18.02,1315.46,92.86,57.14,,,,,,,75.82,50.68,1,NYI,,,,,,,,,,,,,,,,,,,276.5,2,2,2,0,4,100.00,14,14.29,1.33,28,4,3,2,4,1,4,9,3,-,1432,1177,75,64,53.96,75.69,64.44,50.00,0.999
Tom Wilson,WSH,R,78,1449.42,30.0,18.58,80.84,F,78.0,1449.42,18.58,1449.2399999999998,88.24,33.33,,,,,,,90.61,63.51,1,WSH,,,,,,,,,,,,,,,,,,,275.69,0,1,1,0,1,50.00,4,0.00,0.62,10,2,0,3,1,1,11,8,5,-,1418,1232,98,77,56.00,78.77,66.62,45.88,1.011
Tyler Bertuzzi,DET,L,68,1351.37,29.0,19.87,71.86,F,68.0,1351.37,19.87,1351.16,76.92,62.5,,,,,,,81.35,54.05,1,DET,,,,,,,,,,,,,,,,,,,274.82,1,2,0,2,3,50.00,14,7.14,1.49,26,7,0,1,5,2,21,18,3,0.00,1363,1166,92,84,52.27,81.99,71.06,52.94,0.999
Ivan Barbashev,STL,C,81,1331.82,28.0,16.44,69.46,F,81.0,1331.82,16.44,1331.64,80.0,62.5,,,,,,,78.4,53.15,1,STL,,,,,,,,,,,,,,,,,,,274.05,0,4,2,2,4,80.00,8,0.00,0.68,17,2,1,1,1,6,41,8,1,0.00,1087,1346,86,71,54.78,60.53,70.27,51.25,1.045
Brock Boeser,VAN,R,71,1318.65,27.0,18.57,67.96,F,71.0,1318.65,18.57,1318.47,78.57,66.67,,,,,,,76.64,51.58,1,VAN,,,,,,,,,,,,,,,,,,,273.46,3,2,1,1,5,71.43,16,18.75,1.52,36,6,0,2,5,8,6,12,6,50.00,1575,1038,83,51,61.94,80.94,58.7,61.29,1.016
Connor Brown,OTT,R,64,1284.15,30.0,20.06,65.27,F,64.0,1284.15,20.06,1283.84,85.71,62.5,,,,,,,74.36,47.75,1,OTT,,,,,,,,,,,,,,,,,,,270.32,1,2,2,0,3,75.00,7,14.29,0.95,22,4,2,0,3,7,8,19,7,40.00,1209,1235,58,82,41.43,65.38,80.45,45.07,0.97
Andrei Svechnikov,CAR,R,78,1346.27,24.0,17.26,71.11,F,78.0,1346.27,17.26,1346.2800000000002,78.57,57.14,,,,,,,80.56,53.85,1,CAR,,,,,,,,,,,,,,,,,,,270.12,0,5,3,2,5,83.33,16,0.00,1.96,45,8,1,3,10,5,31,16,10,-,1719,1048,109,51,68.13,106.54,60.08,63.74,1.031
Jamie Benn,DAL,L,82,1372.83,34.0,16.74,74.7,F,82.0,1372.83,16.74,1372.6799999999998,78.57,50.0,,,,,,,85.05,55.91,1,DAL,,,,,,,,,,,,,,,,,,,269.53,3,5,2,3,8,72.73,23,13.04,2.9,55,14,4,3,5,10,47,28,10,65.63,1344,1400,67,73,47.86,77.41,68.96,56.47,0.996
Josh Manson,ANA,D,67,1270.13,32.0,18.96,64.52,D,45.0,887.25,19.72,1321.24,88.89,50.0,ANA,COL,0,1321.24,1165.8,0.0,77.05,51.8,1,Multi,ANA,COL,0,1321.24,1165.8,0.0,77.04918032786885,62.325581395348834,0.0,88.88888888888889,60.0,0.0,51.8018018018018,36.986301369863014,0.0,50.0,44.44444444444444,0.0,267.74,1,5,4,1,6,46.15,24,4.17,1.31,62,3,1,8,13,5,36,30,22,-,1055,1276,41,67,37.96,45.58,67.47,39.62,0.976
